Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Description,State FIPS Code,County FIPS Code,Site Latitude,Site Longitude
1/1/2017,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/2/2017,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/3/2017,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/4/2017,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/5/2017,0.054,ppm,50,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/6/2017,0.038,ppm,35,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/7/2017,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/8/2017,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/9/2017,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/10/2017,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/11/2017,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/12/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/13/2017,0.042,ppm,39,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/14/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/15/2017,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/16/2017,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/17/2017,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/18/2017,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/19/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/20/2017,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/21/2017,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/22/2017,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/23/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/24/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/25/2017,0.049,ppm,45,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/26/2017,0.047,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/27/2017,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/28/2017,0.054,ppm,50,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/29/2017,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/30/2017,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/31/2017,0.053,ppm,49,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/1/2017,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/2/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/3/2017,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/4/2017,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/5/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/6/2017,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/7/2017,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/8/2017,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/9/2017,0.027,ppm,25,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/10/2017,0.049,ppm,45,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/11/2017,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/12/2017,0.047,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/13/2017,0.062,ppm,74,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/14/2017,0.042,ppm,39,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/15/2017,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/16/2017,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/17/2017,0.059,ppm,64,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/18/2017,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/19/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/20/2017,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/21/2017,0.055,ppm,51,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/22/2017,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/23/2017,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/24/2017,0.059,ppm,64,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/25/2017,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/26/2017,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/27/2017,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/28/2017,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/1/2017,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/2/2017,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/3/2017,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/4/2017,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/5/2017,0.055,ppm,51,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/6/2017,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/7/2017,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/8/2017,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/9/2017,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/10/2017,0.061,ppm,71,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/11/2017,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/12/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/13/2017,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/14/2017,0.042,ppm,39,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/15/2017,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/16/2017,0.062,ppm,74,Rosenstiel,16,94,Ozone,12,86,25.73287798,-80.16175011
3/17/2017,0.056,ppm,54,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/18/2017,0.054,ppm,50,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/19/2017,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/20/2017,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/21/2017,0.06,ppm,67,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/22/2017,0.081,ppm,136,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/23/2017,0.054,ppm,50,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/24/2017,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/25/2017,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/26/2017,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/27/2017,0.043,ppm,40,Rosenstiel,13,76,Ozone,12,86,25.73287798,-80.16175011
3/28/2017,0.047,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/29/2017,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/30/2017,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/31/2017,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/1/2017,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/2/2017,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/3/2017,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/4/2017,0.035,ppm,32,Rosenstiel,13,76,Ozone,12,86,25.73287798,-80.16175011
4/5/2017,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
