Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Description,State FIPS Code,County FIPS Code,Site Latitude,Site Longitude
1/1/2018,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/2/2018,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/3/2018,0.038,ppm,35,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/4/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/5/2018,0.038,ppm,35,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/6/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/7/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/8/2018,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/9/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/10/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/11/2018,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/12/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/13/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/14/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/15/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/16/2018,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/17/2018,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/18/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/19/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/20/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/21/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/22/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/23/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/24/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/25/2018,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/26/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/27/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/28/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/29/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/30/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
1/31/2018,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
2/3/2018,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
