rating,raises,complaints,privileges,learning,raises,critical,advance
43,61,51,30,39,61,92,45
63,63,64,51,54,63,73,47
71,76,70,68,69,76,86,48
61,54,63,45,47,54,84,35
81,71,78,56,66,71,83,47
43,54,55,49,44,54,49,34
58,66,67,42,56,66,68,35
71,70,75,50,55,70,66,41
72,71,82,72,67,71,83,31
67,62,61,45,47,62,80,41
64,58,53,53,58,58,67,34
67,59,60,47,39,59,74,41
69,55,62,57,42,55,63,25
68,59,83,83,45,59,77,35
77,79,77,54,72,79,77,46
81,60,90,50,72,60,54,36
74,79,85,64,69,79,79,63
65,55,60,65,75,55,80,60
65,75,70,46,57,75,85,46
50,64,58,68,54,64,78,52
50,43,40,33,34,43,64,33
64,66,61,52,62,66,80,41
53,63,66,52,50,63,80,37
40,50,37,42,58,50,57,49
63,66,54,42,48,66,75,33
66,88,77,66,63,88,76,72
78,80,75,58,74,80,78,49
48,51,57,44,45,51,83,38
85,77,85,71,71,77,74,55
82,64,82,39,59,64,78,39
