STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,KA1,KA2,MA1,MD1,OC1,OD1,OD2,REM,EQD
01466099999,2024-01-01T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0046,1","-0053,1","10118,1","240,M,-0043,1","240,N,-0046,1","99999,9,09981,1","7,1,003,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0406 11046 21053 39981 40118 57003 90300 333 11043 21046 90710 91109=,
01466099999,2024-01-01T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0058,1","-0068,1","10133,1","240,M,-0055,1","240,N,-0058,1","99999,9,09995,1","1,1,013,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0206 11058 21068 39995 40133 51013 90900 333 11055 21058 90710 91109=,
01466099999,2024-01-01T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0051,1","-0061,1","10139,1","240,M,-0051,1","240,N,-0052,1","99999,9,10001,1","2,1,004,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0406 11051 21061 30001 40139 52004 91500 333 11051 21052 90710 91109=,
01466099999,2024-01-01T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0050,1","-0068,1","10156,1","240,M,-0050,1","240,N,-0051,1","99999,9,10018,1","1,1,006,1,+999,9",,"3,99,0080,1,999",,SYN08201466 46/// /0305 11050 21068 30018 40156 51006 92100 333 11050 21051 90710 91108=,
01466099999,2024-01-02T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0062,1","-0083,1","10156,1","240,M,-0058,1","240,N,-0062,1","99999,9,10018,1","7,1,002,1,+999,9",,"3,99,0080,1,999",,SYN08201466 46/// /0405 11062 21083 30018 40156 57002 90300 333 11058 21062 90710 91108=,
01466099999,2024-01-02T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0079,1","-0100,1","10163,1","240,M,-0074,1","240,N,-0079,1","99999,9,10023,1","2,1,007,1,+999,9",,"3,99,0100,1,999",,SYN08201466 46/// /0407 11079 21100 30023 40163 52007 90900 333 11074 21079 90710 91110=,
01466099999,2024-01-02T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0086,1","-0112,1","10147,1","240,M,-0086,1","240,N,-0088,1","99999,9,10007,1","6,1,010,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0306 11086 21112 30007 40147 56010 91500 333 11086 21088 90710 91109=,
01466099999,2024-01-02T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0081,1","-0111,1","10125,1","240,M,-0081,1","240,N,-0084,1","99999,9,09986,1","7,1,015,1,+999,9",,"3,99,0100,1,999",,SYN08201466 46/// /0407 11081 21111 39986 40125 57015 92100 333 11081 21084 90710 91110=,
01466099999,2024-01-03T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0085,1","-0108,1","10107,1","240,M,-0084,1","240,N,-0085,1","99999,9,09968,1","7,1,009,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0305 11085 21108 39968 40107 57009 90300 333 11084 21085 90710 91109=,
01466099999,2024-01-03T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0089,1","-0116,1","10105,1","240,M,-0089,1","240,N,-0090,1","99999,9,09965,1","4,1,000,1,+999,9",,"3,99,0070,1,999",,SYN08201466 46/// /0205 11089 21116 39965 40105 54000 90900 333 11089 21090 90710 91107=,
01466099999,2024-01-03T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0085,1","-0121,1","10094,1","240,M,-0085,1","240,N,-0085,1","99999,9,09955,1","7,1,005,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0405 11085 21121 39955 40094 57005 91500 333 11085 21085 90710 91109=,
01466099999,2024-01-03T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0087,1","-0122,1","10103,1","240,M,-0086,1","240,N,-0088,1","99999,9,09964,1","2,1,005,1,+999,9",,"3,99,0080,1,999",,SYN08201466 46/// /0305 11087 21122 39964 40103 52005 92100 333 11086 21088 90710 91108=,
01466099999,2024-01-04T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0089,1","-0124,1","10115,1","240,M,-0088,1","240,N,-0090,1","99999,9,09975,1","2,1,009,1,+999,9",,"3,99,0070,1,999",,SYN08201466 46/// /0304 11089 21124 39975 40115 52009 90300 333 11088 21090 90710 91107=,
01466099999,2024-01-04T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0099,1","-0140,1","10135,1","240,M,-0094,1","240,N,-0099,1","99999,9,09995,1","2,1,015,1,+999,9",,"3,99,0070,1,999",,SYN08201466 46/// /0203 11099 21140 39995 40135 52015 90900 333 11094 21099 90710 91107=,
01466099999,2024-01-04T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0122,1","-0154,1","10146,1","240,M,-0112,1","240,N,-0122,1","99999,9,10004,1","2,1,004,1,+999,9",,"3,99,0050,1,999",,SYN08201466 46/// /3603 11122 21154 30004 40146 52004 91500 333 11112 21122 90710 91105=,
01466099999,2024-01-04T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0206,1","-0224,1","10170,1","240,M,-0187,1","240,N,-0213,1","99999,9,10024,1","2,1,012,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11206 21224 30024 40170 52012 92100 333 11187 21213 90710 91101=,
01466099999,2024-01-05T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0263,1","-0285,1","10172,1","240,M,-0256,1","240,N,-0276,1","99999,9,10022,1","7,1,001,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11263 21285 30022 40172 57001 90300 333 11256 21276 90710 91101=,
01466099999,2024-01-05T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0274,1","-0298,1","10186,1","240,M,-0274,1","240,N,-0295,1","99999,9,10035,1","2,1,009,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11274 21298 30035 40186 52009 90900 333 11274 21295 90710 91102=,
01466099999,2024-01-05T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0266,1","-0290,1","10188,1","240,M,-0248,1","240,N,-0267,1","99999,9,10037,1","2,1,004,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /3001 11266 21290 30037 40188 52004 91500 333 11248 21267 90710 91102=,
01466099999,2024-01-05T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0320,1","-0351,1","10206,1","240,M,-0295,1","240,N,-0320,1","99999,9,10052,1","2,1,009,1,+999,9",,"3,99,0000,1,999",,SYN08201466 46/// /0000 11320 21351 30052 40206 52009 92100 333 11295 21320 90710 91100=,
01466099999,2024-01-06T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"280,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0258,1","-0280,1","10216,1","240,M,-0256,1","240,N,-0262,1","99999,9,10066,1","9,9,006,1,+999,9",,"3,99,0030,1,999",,SYN08201466 46/// /2801 11258 21280 30066 40216 50006 90300 333 11256 21262 90710 91103=,
01466099999,2024-01-06T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"280,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0261,1","-0286,1","10249,1","240,M,-0260,1","240,N,-0262,1","99999,9,10098,1","2,1,019,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /2801 11261 21286 30098 40249 52019 90900 333 11260 21262 90710 91102=,
01466099999,2024-01-06T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"290,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0249,1","-0273,1","10273,1","240,M,-0237,1","240,N,-0249,1","99999,9,10123,1","3,1,011,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /2901 11249 21273 30123 40273 53011 91500 333 11237 21249 90710 91102=,
01466099999,2024-01-06T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0272,1","-0297,1","10309,1","240,M,-0271,1","240,N,-0281,1","99999,9,10156,1","1,1,016,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /2600 11272 21297 30156 40309 51016 92100 333 11271 21281 90710 91102=,
01466099999,2024-01-07T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0254,1","-0278,1","10332,1","240,M,-0252,1","240,N,-0254,1","99999,9,10180,1","2,1,012,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /3001 11254 21278 30180 40332 52012 90300 333 11252 21254 90710 91102=,
01466099999,2024-01-07T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0211,1","-0229,1","10359,1","240,M,-0211,1","240,N,-0222,1","99999,9,10210,1","2,1,017,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11211 21229 30210 40359 52017 90900 333 11211 21222 90710 91102=,
01466099999,2024-01-07T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0228,1","-0249,1","10378,1","240,M,-0206,1","240,N,-0231,1","99999,9,10227,1","3,1,007,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /3001 11228 21249 30227 40378 53007 91500 333 11206 21231 90710 91101=,
01466099999,2024-01-07T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0278,1","-0305,1","10408,1","240,M,-0263,1","240,N,-0279,1","99999,9,10254,1","9,9,014,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11278 21305 30254 40408 50014 92100 333 11263 21279 90710 91101=,
