STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
01466099999,2024-01-01T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0046,1","-0053,1","10118,1"
01466099999,2024-01-01T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0058,1","-0068,1","10133,1"
01466099999,2024-01-01T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0051,1","-0061,1","10139,1"
01466099999,2024-01-01T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0050,1","-0068,1","10156,1"
01466099999,2024-01-02T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0062,1","-0083,1","10156,1"
01466099999,2024-01-02T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0079,1","-0100,1","10163,1"
01466099999,2024-01-02T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0086,1","-0112,1","10147,1"
01466099999,2024-01-02T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0081,1","-0111,1","10125,1"
01466099999,2024-01-03T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0085,1","-0108,1","10107,1"
01466099999,2024-01-03T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0089,1","-0116,1","10105,1"
01466099999,2024-01-03T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"040,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0085,1","-0121,1","10094,1"
01466099999,2024-01-03T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0087,1","-0122,1","10103,1"
01466099999,2024-01-04T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"030,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0089,1","-0124,1","10115,1"
01466099999,2024-01-04T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0099,1","-0140,1","10135,1"
01466099999,2024-01-04T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0122,1","-0154,1","10146,1"
01466099999,2024-01-04T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0206,1","-0224,1","10170,1"
01466099999,2024-01-05T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0263,1","-0285,1","10172,1"
01466099999,2024-01-05T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0274,1","-0298,1","10186,1"
01466099999,2024-01-05T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0266,1","-0290,1","10188,1"
01466099999,2024-01-05T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0320,1","-0351,1","10206,1"
01466099999,2024-01-06T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"280,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0258,1","-0280,1","10216,1"
01466099999,2024-01-06T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"280,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0261,1","-0286,1","10249,1"
01466099999,2024-01-06T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"290,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0249,1","-0273,1","10273,1"
01466099999,2024-01-06T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0272,1","-0297,1","10309,1"
01466099999,2024-01-07T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0254,1","-0278,1","10332,1"
01466099999,2024-01-07T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0211,1","-0229,1","10359,1"
01466099999,2024-01-07T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"300,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0228,1","-0249,1","10378,1"
01466099999,2024-01-07T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0278,1","-0305,1","10408,1"
01466099999,2024-01-08T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0281,1","-0306,1","10418,1"
01466099999,2024-01-08T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0257,1","-0281,1","10422,1"
01466099999,2024-01-08T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0187,1","-0205,1","10411,1"
