DATE,TIME,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,SLP,WND,,,,,CIG,VIS,TMP,DEW
1/1/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10118.00,40,1,N,60,1,"99999,9,9,N","999999,9,9,9","-0046,1","-0053,1"
1/1/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10133.00,20,1,N,60,1,"99999,9,9,N","999999,9,9,9","-0058,1","-0068,1"
1/1/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10139.00,40,1,N,60,1,"99999,9,9,N","999999,9,9,9","-0051,1","-0061,1"
1/1/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10156.00,30,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0050,1","-0068,1"
1/2/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10156.00,40,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0062,1","-0083,1"
1/2/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10163.00,40,1,N,70,1,"99999,9,9,N","999999,9,9,9","-0079,1","-0100,1"
1/2/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10147.00,30,1,N,60,1,"99999,9,9,N","999999,9,9,9","-0086,1","-0112,1"
1/2/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10125.00,40,1,N,70,1,"99999,9,9,N","999999,9,9,9","-0081,1","-0111,1"
1/3/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10107.00,30,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0085,1","-0108,1"
1/3/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10105.00,20,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0089,1","-0116,1"
1/3/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10094.00,40,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0085,1","-0121,1"
1/3/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10103.00,30,1,N,50,1,"99999,9,9,N","999999,9,9,9","-0087,1","-0122,1"
1/4/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10115.00,30,1,N,40,1,"99999,9,9,N","999999,9,9,9","-0089,1","-0124,1"
1/4/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10135.00,20,1,N,30,1,"99999,9,9,N","999999,9,9,9","-0099,1","-0140,1"
1/4/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10146.00,360,1,N,30,1,"99999,9,9,N","999999,9,9,9","-0122,1","-0154,1"
1/4/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10170.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0206,1","-0224,1"
1/5/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10172.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0263,1","-0285,1"
1/5/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10186.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0274,1","-0298,1"
1/5/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10188.00,300,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0266,1","-0290,1"
1/5/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10206.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0320,1","-0351,1"
1/6/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10216.00,280,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0258,1","-0280,1"
1/6/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10249.00,280,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0261,1","-0286,1"
1/6/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10273.00,290,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0249,1","-0273,1"
1/6/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10309.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0272,1","-0297,1"
1/7/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10332.00,300,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0254,1","-0278,1"
1/7/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10359.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0211,1","-0229,1"
1/7/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10378.00,300,1,N,10,1,"99999,9,9,N","999999,9,9,9","-0228,1","-0249,1"
1/7/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10408.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0278,1","-0305,1"
1/8/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10418.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0281,1","-0306,1"
1/8/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10422.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0257,1","-0281,1"
1/8/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10411.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0187,1","-0205,1"
1/8/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10412.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0205,1","-0224,1"
1/9/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10391.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0193,1","-0212,1"
1/9/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10382.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0154,1","-0168,1"
1/9/2024,15:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10370.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0144,1","-0159,1"
1/9/2024,21:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10368.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0109,1","-0120,1"
1/10/2024,3:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10367.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0181,1","-0194,1"
1/10/2024,9:00:00,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,10350.00,999,9,C,0,5,"99999,9,9,N","999999,9,9,9","-0176,1","-0191,1"
